year,season,sum_daytime_temp_C,sum_nighttime_temp_C,sum_rainfall_mm
2000,Autumn,1640.35,973.1,365.6
2000,Spring,1567.65,687.95,235.5
2000,Summer,2327.15,1386.3,179.4
2000,Winter,628.05,161.35,67.8
2001,Autumn,1661.1,880.2,143.6
2001,Spring,1554.6,806.85,288.6
2001,Summer,2397.1,1416.5,154.4
2001,Winter,1052.3,464.85,232.8
2002,Autumn,1726.8,983.6,218.1
2002,Spring,1632.9,716.05,148.3
2002,Summer,2251.2,1389.55,189.0
2002,Winter,967.0,259.65,91.5
2003,Autumn,1714.4,924.45,248.5
2003,Spring,1763.85,757.75,129.7
2003,Summer,2671.3,1635.0,169.1
2003,Winter,898.65,306.05,197.0
2004,Autumn,1717.3,960.45,129.3
2004,Spring,1486.7,587.65,171.6
2004,Summer,2401.35,1438.8,142.1
2004,Winter,969.3,293.8,206.3
2005,Autumn,1793.1,922.3,142.1
2005,Spring,1642.35,704.15,174.4
2005,Summer,2541.45,1480.7,86.6
2005,Winter,820.3,205.85,97.3
2006,Autumn,1928.7,1132.1,227.9
2006,Spring,1577.6,724.1,239.1
2006,Summer,2429.7,1505.25,176.1
2006,Winter,722.3,104.85,203.8
2007,Autumn,1596.75,764.6,88.1
2007,Spring,1657.0,847.8,251.1
2007,Summer,2204.25,1354.65,185.2
2007,Winter,992.95,390.2,200.3
2008,Autumn,1553.25,835.4,217.2
2008,Spring,1500.05,729.05,306.4
2008,Summer,2217.85,1336.1,172.9
2008,Winter,1069.45,351.45,173.8
2009,Autumn,1823.2,1007.7,217.9
2009,Spring,1597.1,686.1,246.2
2009,Summer,2432.35,1411.45,104.4
2009,Winter,826.05,159.6,193.0
2010,Autumn,1662.05,874.85,269.1
2010,Spring,1558.6,635.8,124.3
2010,Summer,2371.55,1400.65,145.6
2010,Winter,772.65,172.15,235.2
2011,Autumn,1929.8,1071.55,113.8
2011,Spring,1911.6,821.65,84.0
2011,Summer,2335.8,1374.0,154.6
2011,Winter,859.8,181.4,142.5
2012,Autumn,1732.7,933.7,204.5
2012,Spring,1646.4,686.35,239.0
2012,Summer,2380.95,1403.25,133.1
2012,Winter,878.05,264.7,146.0
2013,Autumn,1677.15,988.05,246.6
2013,Spring,1421.85,576.05,215.4
2013,Summer,2368.0,1435.05,199.9
2013,Winter,912.05,321.3,260.4
2014,Autumn,1973.2,1092.3,172.5
2014,Spring,1595.95,717.55,215.7
2014,Summer,2276.05,1418.3,183.6
2014,Winter,1039.45,421.6,325.4
2015,Autumn,1702.6,940.0,166.1
2015,Spring,1620.85,749.05,118.7
2015,Summer,2503.75,1485.3,186.9
2015,Winter,861.3,237.35,160.0
2016,Autumn,1806.6,956.75,144.2
2016,Spring,1478.4,675.6,262.4
2016,Summer,2402.05,1422.15,74.8
2016,Winter,1146.15,506.45,339.2
2017,Autumn,1722.92,855.97,138.2
2017,Spring,1758.95,770.35,196.6
2017,Summer,2468.2,1499.8,181.1
2017,Winter,981.28,249.63,102.2
2018,Autumn,1833.42,932.37,199.1
2018,Spring,1574.25,776.5,288.0
2018,Summer,2471.95,1516.05,188.2
2018,Winter,893.93,314.73,302.0
2019,Autumn,1723.57,1017.32,371.8
2019,Spring,1596.05,713.1,172.2
2019,Summer,2534.05,1486.25,185.3
2019,Winter,1052.83,385.28,201.7
2020,Autumn,1758.02,962.37,242.3
2020,Spring,1732.75,861.35,360.9
2020,Summer,2334.2,1410.3,161.7
2020,Winter,1168.42,541.62,256.6
2021,Autumn,1703.72,875.92,172.1
2021,Spring,1596.05,649.95,139.3
2021,Summer,2271.7,1403.8,256.7
2021,Winter,1020.08,426.28,389.5
2022,Autumn,1938.62,1100.12,261.4
2022,Spring,1734.4,809.9,169.6
2022,Summer,2632.4,1539.05,262.2
2022,Winter,1012.88,322.28,233.1
2023,Autumn,1921.72,1099.77,484.4
2023,Spring,1675.6,807.9,256.7
2023,Summer,2440.15,1511.0,249.7
2023,Winter,988.93,300.63,261.6
2024,Autumn,1705.97,994.02,315.7
2024,Spring,1596.55,787.3,379.3
2024,Summer,2333.95,1406.75,191.1
2024,Winter,1103.37,475.02,307.0
